Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
ERR272369,2013-05-15 07:25:15,2013-05-15 07:25:15,595911,303991460,0,510,682,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272369/ERR272369.sra,ERX246645,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,LS454,454 GS FLX Titanium,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DukeUniversity,ERA212360,,public,AC46E70EDA7573F1880BA7C826EC4DD8,96225D7DE628DB6F95D646B339E1D0BF
ERR272370,2013-05-15 07:25:15,2013-05-15 07:25:15,643340,328854889,0,511,736,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272370/ERR272370.sra,ERX246646,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,LS454,454 GS FLX Titanium,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DukeUniversity,ERA212360,,public,42ABEF356E8C94B322C3040B43E53CCC,106F72AA7CE896F02F74F89F44432FF1
ERR272371,2013-05-15 07:25:15,2013-05-15 07:25:15,622355,321075575,0,515,715,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272371/ERR272371.sra,ERX246647,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,LS454,454 GS FLX Titanium,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DukeUniversity,ERA212360,,public,BCD3CF40DAFB9FDB82FC56728F850C62,F1ACAE22EF4AD7F64D1460CFB1A494B7
ERR272372,2013-05-15 07:25:15,2013-05-15 07:25:15,597961,306824039,0,513,690,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272372/ERR272372.sra,ERX246648,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,LS454,454 GS FLX Titanium,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DukeUniversity,ERA212360,,public,E87FA2932C221FAB34CB963CA776BBB4,5BFA72CC45B0FDF0E1C26B171D8835A7
ERR272373,2013-05-15 07:25:15,2013-05-15 07:25:15,443143,228589611,0,515,510,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272373/ERR272373.sra,ERX246649,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,LS454,454 GS FLX Titanium,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DukeUniversity,ERA212360,,public,25587ECB5070C38DFBAF1CC4CD1E9BC6,03083197D1619A1AE464436681BD1E7F
ERR272379,2013-05-17 07:40:54,2013-05-17 07:40:54,507785,236203765,345177,465,530,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272379/ERR272379.sra,ERX246655,unspecified,WGS,RANDOM,GENOMIC,PAIRED,3000,0,LS454,454 GS FLX Titanium,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DUKE,ERA212488,,public,2DA9FED30805AB701BEC375DD91A00AD,35EFABEB367FEF1C5BDD5A6497B65AB4
ERR272380,2013-05-17 07:40:54,2013-05-17 07:40:54,481894,226618364,0,470,507,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272380/ERR272380.sra,ERX246656,unspecified,WGS,RANDOM,GENOMIC,PAIRED,3000,0,LS454,454 GS FLX Titanium,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DUKE,ERA212488,,public,F87D77B2ACA074C942321C0F9AF5B128,2674D2916E503816B1951D45DBE46CC6
ERR272381,2013-05-17 07:40:54,2013-05-17 07:40:54,222046,102576079,153728,461,243,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272381/ERR272381.sra,ERX246657,unspecified,WGS,RANDOM,GENOMIC,PAIRED,3000,0,LS454,454 GS FLX Titanium,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DUKE,ERA212488,,public,EF4A143C8B2B46D0B8DB3045060F33A3,4070508C33EAD44DF62E2FC919FDE012
ERR272382,2013-05-17 07:40:54,2013-05-17 07:40:54,649766,295752466,0,455,693,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272382/ERR272382.sra,ERX246658,unspecified,WGS,RANDOM,GENOMIC,PAIRED,3000,0,LS454,454 GS FLX Titanium,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DUKE,ERA212488,,public,24C9DA32B9D5F9C603A1A12953B347DB,F5D78DE4E7E24E0B55F1B555E479544C
ERR272383,2013-05-17 07:40:54,2013-05-17 07:40:54,641319,291013524,0,453,679,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272383/ERR272383.sra,ERX246659,unspecified,WGS,RANDOM,GENOMIC,PAIRED,3000,0,LS454,454 GS FLX Titanium,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DUKE,ERA212488,,public,CD03EB754672665CF93678C9D504A110,0F7098E4B4E00318FB4975A3A4B0C3D2
